month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
June,2024,UNLOADED,TOTAL LPG,10.0,38.0,194556.0,224268.0,-8.36
July,2024,LOADED,CONTAINER (JSW),7.0,36.0,70465.0,94517.0,-13.04
July,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
July,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
July,2024,LOADED,IRON ORE,0.0,11.0,0.0,109678.0,-70.34
July,2024,LOADED,OTH.LIQ.CARGOES,0.0,0.0,0.0,0.0,0.0
July,2024,LOADED,OTHER CARGO,0.0,4.0,0.0,58680.0,-92.92
July,2024,LOADED,PETROCHEMICALS,4.0,12.0,119145.0,111532.0,61.54
July,2024,LOADED,POL PRODUCTS,12.0,39.0,440630.0,306712.0,11.28
July,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,0.0,75.8
July,2024,UNLOADED,CONTAINER (JSW),14.0,51.0,156601.0,178156.0,-19.17
July,2024,UNLOADED,EDIBLE OIL,8.0,34.0,117337.0,87095.0,-1.37
July,2024,UNLOADED,F.R.M. (DRY),2.0,1.0,44830.0,0.0,103.77
July,2024,UNLOADED,FERTILIZER,2.0,10.0,45758.0,48599.0,-12.36
July,2024,UNLOADED,IRON ORE,0.0,12.0,0.0,207638.0,-92.17
July,2024,UNLOADED,OTH. LIQ. CARGOES,13.0,49.0,59113.0,42770.0,-18.57
July,2024,UNLOADED,OTHER CARGO,4.0,21.0,12016.0,41385.0,-31.68
July,2024,UNLOADED,POL PRODUCTS,6.0,35.0,69107.0,83283.0,8.69
July,2024,UNLOADED,TOTAL CEMENT,1.0,7.0,18428.0,19238.0,-30.76
July,2024,UNLOADED,TOTAL COAL,7.0,34.0,310958.0,352909.0,38.07
July,2024,UNLOADED,TOTAL CRUDE,21.0,73.0,1648983.0,1341974.0,-2.09
July,2024,UNLOADED,TOTAL LPG,12.0,52.0,232348.0,247674.0,-7.79
